,Drama,Comedy,Action,Crime,Adventure,Fantasy,Horror,Thriller,Romance,Western,Documentary,Science Fiction,TV Movie,Animation,Music,Foreign,War,Mystery,Family,History,cluster
186233,0.9666666666666666,0.9400000000000001,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.0,0.95,0.9,0.0,0.0,0.0,0.0,0.9,0.0,0.95,-1
192547,0.6599999999999999,0.7,1.0,0.75,0.6666666666666666,0.0,0.8,0.625,0.72,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.8,0.65,0.5,0.6,85
34153,0.7200000000000001,0.9333333333333333,0.7047619047619047,0.6666666666666666,0.8,0.5,0.5333333333333333,0.6666666666666666,0.7166666666666667,0.0,0.0,0.4666666666666667,0.0,0.0,1.0,0.0,0.13333333333333333,0.8,0.8666666666666667,0.8,49
55356,0.7611622962437987,0.7508261731658955,0.7339771729587357,0.7359198998748435,0.7163398692810458,0.6977687626774848,0.7239819004524887,0.7761194029850745,0.7782805429864252,1.0,0.8067226890756302,0.7260504201680673,0.0,0.8067226890756302,0.776470588235294,0.7058823529411765,0.8067226890756302,0.8235294117647058,0.6687306501547987,0.7450980392156863,77
7969,0.7866666666666666,0.7319148936170211,0.8,0.84375,0.7727272727272728,0.7166666666666666,0.875,0.7644444444444445,0.8,0.6,0.7333333333333333,0.7666666666666667,1.0,0.76,0.6571428571428571,0.0,0.8,0.8400000000000001,0.76,0.8333333333333334,78
126463,0.8888888888888888,1.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91
63256,0.9352874994977298,0.9252523128679562,0.9240196078431372,0.9353658536585366,0.9157073170731708,0.9387034659820283,0.9551829268292684,0.9353658536585366,0.9363334478415207,1.0,0.941893830703013,0.9241822650784647,0.9670731707317073,0.9614476789929189,0.9270943796394485,0.9416112342941612,0.9448780487804879,0.9355400696864112,0.9041539634146342,0.9148882113821138,0
46734,0.72,0.7,0.7636363636363634,0.7111111111111111,0.7,0.6666666666666666,0.6,0.7571428571428571,0.78,0.0,0.6,0.8,1.0,0.6,0.5333333333333333,0.0,1.0,0.8666666666666666,0.6,0.8,-1
8641,0.7148936170212767,0.6703703703703704,0.704,0.75,0.6545454545454545,0.7333333333333333,0.64,0.716,0.7857142857142858,1.0,0.26666666666666666,0.72,0.55,0.75,0.85,0.375,0.55,0.8,0.7857142857142858,1.0,44
30374,0.7454545454545454,0.7538461538461537,0.8,0.8,0.9,0.8400000000000001,0.9,0.8400000000000001,0.7076923076923076,0.0,0.8,0.8333333333333334,0.0,0.6,0.8666666666666666,0.0,0.8,0.8,0.8,1.0,-1
131395,0.7285714285714286,0.7,0.75,0.5,0.6333333333333333,0.75,0.7,0.75,0.7125,1.0,0.0,1.0,0.0,0.3,0.6,0.0,0.0,0.0,0.45,0.0,-1
69876,0.9277777777777777,0.8981481481481483,0.8592592592592592,0.9481481481481482,0.8611111111111112,0.8888888888888888,0.9841269841269842,0.925925925925926,0.9444444444444444,0.8888888888888888,0.8888888888888888,0.9722222222222222,0.4444444444444444,0.8888888888888888,1.0,0.8888888888888888,0.8888888888888888,0.7555555555555555,0.7777777777777778,0.8888888888888888,-1
129101,1.0,0.9,0.0,1.0,0.7,0.7,0.0,1.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.85,0.0,39
156151,0.6727272727272728,0.72,0.6857142857142857,0.6799999999999999,0.6285714285714287,0.6333333333333333,0.6,0.6799999999999999,0.6545454545454545,0.0,0.8,0.5,0.0,0.6,0.6799999999999999,0.0,0.0,0.72,0.7,1.0,81
94559,0.8736842105263157,0.8727272727272727,0.8285714285714286,0.9111111111111109,0.8333333333333334,1.0,0.8,0.8909090909090909,0.8666666666666666,1.0,1.0,0.76,0.0,1.0,0.0,0.0,0.0,0.7333333333333333,0.8666666666666666,0.0,-1
70797,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,-1
